,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
7,Walker Kessler,21,18.8,2.9,4.0,0.729,0.0,0.0,0.0,2.9,4.0,1.0,1.9,0.544,6.5,0.6,0.2,1.8,0.7,6.9
8,Rudy Gay,36,15.6,1.7,4.8,0.355,0.6,2.6,0.234,1.1,2.3,0.5,0.7,0.765,3.0,0.7,0.5,0.4,0.6,4.6
9,Talen Horton-Tucker,22,15.6,2.5,6.6,0.382,0.6,2.7,0.233,1.9,3.9,1.0,1.3,0.744,2.5,2.3,0.8,0.3,1.2,6.7
10,Nickeil Alexander-Walker,24,15.5,2.5,5.1,0.489,1.1,2.7,0.42,1.4,2.5,0.7,1.0,0.731,1.6,2.3,0.7,0.4,1.3,6.8
11,Simone Fontecchio,27,9.0,1.3,3.4,0.375,0.9,2.4,0.353,0.4,1.0,0.4,0.7,0.643,1.1,0.4,0.1,0.2,0.5,3.9
12,Ochai Agbaji,22,7.9,1.1,2.6,0.405,0.3,1.3,0.238,0.8,1.3,0.3,0.6,0.444,1.1,0.2,0.1,0.0,0.0,2.7
13,Leandro Bolmaro,22,5.8,0.3,1.6,0.188,0.0,0.3,0.0,0.3,1.3,0.0,0.0,0.0,0.4,0.6,0.3,0.1,0.7,0.6
14,Micah Potter,24,4.7,0.7,0.7,1.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,1.3
15,Udoka Azubuike,23,4.2,0.8,0.9,0.857,0.0,0.0,0.0,0.8,0.9,0.1,0.4,0.333,1.8,0.3,0.1,0.2,0.2,1.7
0,Kyle Kuzma,27,35.2,8.2,17.6,0.465,2.5,7.3,0.343,5.7,10.3,2.5,3.5,0.695,7.6,3.8,0.5,0.4,2.9,21.4
1,Bradley Beal,29,34.5,8.9,16.8,0.527,1.6,4.6,0.343,7.3,12.3,4.2,4.9,0.858,3.6,5.2,1.0,0.6,2.8,23.5
2,Kristaps Porziņģis,27,32.9,7.4,15.6,0.478,1.8,5.4,0.33,5.6,10.1,5.5,6.9,0.803,8.9,2.4,1.1,1.6,2.2,22.2
3,Monte Morris,27,28.6,3.8,8.2,0.458,1.3,3.4,0.375,2.5,4.8,1.0,1.3,0.773,3.3,5.3,0.8,0.2,0.9,9.8
4,Corey Kispert,23,28.1,3.3,6.9,0.485,1.7,4.3,0.406,1.6,2.6,1.1,1.3,0.8,2.7,1.5,0.6,0.1,0.7,9.5
5,Deni Avdija,22,26.1,3.0,7.1,0.427,0.9,3.1,0.3,2.1,4.0,1.3,1.7,0.787,5.7,2.7,0.8,0.6,1.5,8.3
6,Rui Hachimura,24,24.4,5.5,10.5,0.522,0.9,2.6,0.345,4.6,7.9,1.7,2.2,0.755,4.8,1.2,0.3,0.4,1.3,13.6
7,Will Barton,32,21.2,2.8,7.6,0.368,1.3,3.7,0.364,1.5,3.9,0.8,1.1,0.8,2.8,2.6,0.5,0.3,1.2,7.8
8,Jordan Goodwin,24,19.6,2.8,5.9,0.476,0.7,1.8,0.392,2.1,4.1,0.8,1.1,0.727,3.9,2.8,1.1,0.6,1.0,7.1
9,Delon Wright,30,19.4,1.9,4.8,0.395,0.7,2.4,0.273,1.2,2.3,0.9,1.2,0.727,2.2,3.4,2.1,0.4,0.7,5.3
10,Daniel Gafford,24,16.1,3.1,4.1,0.748,0.0,0.0,0.0,3.1,4.1,1.2,2.0,0.605,4.6,0.6,0.4,1.2,0.9,7.3
11,Anthony Gill,30,10.0,1.1,1.8,0.582,0.1,0.5,0.143,1.0,1.4,0.5,0.6,0.824,1.4,0.5,0.2,0.2,0.2,2.7
12,Taj Gibson,37,9.0,1.3,2.5,0.534,0.1,0.6,0.231,1.2,2.0,0.7,0.9,0.75,1.6,0.5,0.4,0.3,0.5,3.5
13,Devon Dotson,23,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.0,0.0,1.7,1.3,0.8,0.0,0.5,0.5
14,Johnny Davis,20,5.0,0.4,1.3,0.308,0.0,0.3,0.0,0.4,1.0,0.3,0.3,1.0,0.7,0.2,0.0,0.1,0.1,1.1
15,Isaiah Todd,21,3.3,0.3,1.0,0.25,0.0,0.8,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,Jordan Schakel,24,3.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.5
17,Vernon Carey Jr.,21,2.2,0.2,0.6,0.333,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.8,0.2,0.2,0.2,0.4,0.4
